S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S0-T13,S0-T14,S0-T15,S0-T16,S0-T17,S0-T18,S0-T19,S0-T20,S0-T21,S0-T22,S0-T23,S0-T24,S0-T25,S0-T26,S0-T27,S0-T28,S0-T29,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12,S1-T13,S1-T14,S1-T15,S1-T16,S1-T17,S1-T18,S1-T19,S1-T20,S1-T21,S1-T22,S1-T23,S1-T24,S1-T25,S1-T26,S1-T27,S1-T28,S1-T29,
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.22000000000000003,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.22000000000000003,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.275,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,
0.02,0.02,0.42000000000000004,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.00625,0.00625,0.06875,0.13125,0.00625,0.00625,0.00625,0.06875,0.00625,0.00625,0.00625,0.00625,0.06875,0.00625,0.13125,0.00625,0.00625,0.00625,0.00625,0.06875,0.00625,0.00625,0.00625,0.06875,0.00625,0.25625,0.00625,0.00625,0.00625,0.00625,
0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.275,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.275,0.025,0.025,0.025,
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.42000000000000004,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,
0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.22000000000000003,0.02,0.02,0.02,0.22000000000000003,0.02,0.02,0.02,0.02,
0.025,0.025,0.025,0.025,0.025,0.275,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.05,0.2318181818181818,0.004545454545454546,0.1409090909090909,0.004545454545454546,0.09545454545454546,0.004545454545454546,0.18636363636363634,0.004545454545454546,0.09545454545454546,0.004545454545454546,0.004545454545454546,0.05,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.05,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.004545454545454546,
0.01,0.01,0.41,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11000000000000001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11000000000000001,0.11000000000000001,0.01,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.3875,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.2625,0.0125,0.0125,0.0125,0.0125,0.0125,
0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.275,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.02,0.02,0.02,0.22000000000000003,0.02,0.02,0.02,0.02,0.02,0.02,0.22000000000000003,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,
0.02,0.02,0.02,0.02,0.22000000000000003,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.22000000000000003,0.02,0.02,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.22000000000000003,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.22000000000000003,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.275,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,
0.02,0.02,0.42000000000000004,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.00625,0.00625,0.06875,0.13125,0.00625,0.00625,0.00625,0.06875,0.00625,0.00625,0.00625,0.00625,0.13125,0.00625,0.13125,0.00625,0.00625,0.00625,0.00625,0.06875,0.00625,0.00625,0.00625,0.06875,0.00625,0.19375,0.00625,0.00625,0.00625,0.00625,
0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.275,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.275,
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.42000000000000004,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,
0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.275,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.275,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,
0.22000000000000003,0.02,0.02,0.02,0.02,0.22000000000000003,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.004761904761904762,0.004761904761904762,0.004761904761904762,0.004761904761904762,0.004761904761904762,0.05238095238095238,0.14761904761904762,0.004761904761904762,0.24285714285714283,0.004761904761904762,0.1,0.004761904761904762,0.14761904761904762,0.004761904761904762,0.1,0.004761904761904762,0.004761904761904762,0.05238095238095238,0.004761904761904762,0.004761904761904762,0.004761904761904762,0.004761904761904762,0.004761904761904762,0.004761904761904762,0.05238095238095238,0.004761904761904762,0.004761904761904762,0.004761904761904762,0.004761904761904762,0.004761904761904762,
0.0125,0.0125,0.5125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.1375,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.31,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21000000000000002,0.01,0.01,0.21000000000000002,0.01,0.01,0.01,0.01,0.01,
0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.275,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.02,0.02,0.02,0.22000000000000003,0.02,0.02,0.02,0.02,0.02,0.02,0.22000000000000003,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,
0.02,0.02,0.02,0.02,0.42000000000000004,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.22000000000000003,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.22000000000000003,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.275,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,
0.02,0.02,0.42000000000000004,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.00625,0.00625,0.06875,0.06875,0.00625,0.00625,0.00625,0.06875,0.00625,0.00625,0.00625,0.00625,0.06875,0.00625,0.13125,0.00625,0.00625,0.00625,0.00625,0.06875,0.00625,0.00625,0.00625,0.06875,0.00625,0.31875,0.00625,0.00625,0.00625,0.00625,
0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.275,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.275,
0.02,0.02,0.02,0.02,0.02,0.22000000000000003,0.02,0.02,0.02,0.22000000000000003,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,
0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.22000000000000003,0.02,0.02,0.02,0.22000000000000003,0.02,0.02,0.02,0.02,
0.025,0.025,0.025,0.025,0.025,0.275,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.05,0.18636363636363634,0.004545454545454546,0.18636363636363634,0.004545454545454546,0.09545454545454546,0.004545454545454546,0.09545454545454546,0.004545454545454546,0.1409090909090909,0.004545454545454546,0.004545454545454546,0.05,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.09545454545454546,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.004545454545454546,
0.1,0.19090909090909092,0.009090909090909092,0.1,0.009090909090909092,0.009090909090909092,0.1,0.009090909090909092,0.009090909090909092,0.1,0.009090909090909092,0.009090909090909092,0.009090909090909092,0.009090909090909092,0.009090909090909092,0.009090909090909092,0.009090909090909092,0.009090909090909092,0.009090909090909092,0.1,0.009090909090909092,0.1,0.009090909090909092,0.009090909090909092,0.009090909090909092,0.009090909090909092,0.009090909090909092,0.009090909090909092,0.009090909090909092,0.009090909090909092,0.014285714285714287,0.014285714285714287,0.15714285714285717,0.014285714285714287,0.014285714285714287,0.014285714285714287,0.014285714285714287,0.15714285714285717,0.014285714285714287,0.014285714285714287,0.014285714285714287,0.014285714285714287,0.014285714285714287,0.014285714285714287,0.014285714285714287,0.014285714285714287,0.014285714285714287,0.014285714285714287,0.15714285714285717,0.014285714285714287,0.014285714285714287,0.014285714285714287,0.014285714285714287,0.014285714285714287,0.014285714285714287,0.014285714285714287,0.014285714285714287,0.15714285714285717,0.014285714285714287,0.014285714285714287,
0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.275,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.02,0.02,0.02,0.22000000000000003,0.02,0.02,0.02,0.02,0.02,0.02,0.22000000000000003,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,
0.02,0.02,0.02,0.02,0.42000000000000004,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.22000000000000003,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.22000000000000003,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.275,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,
0.02,0.02,0.42000000000000004,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.00625,0.00625,0.06875,0.06875,0.00625,0.00625,0.00625,0.13125,0.00625,0.00625,0.00625,0.00625,0.06875,0.00625,0.13125,0.00625,0.00625,0.00625,0.00625,0.06875,0.00625,0.00625,0.00625,0.06875,0.00625,0.25625,0.00625,0.00625,0.00625,0.00625,
0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.275,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.275,
0.02,0.02,0.02,0.02,0.02,0.02,0.22000000000000003,0.02,0.02,0.22000000000000003,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,
0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.22000000000000003,0.02,0.02,0.02,0.22000000000000003,0.02,0.02,0.02,0.02,
0.025,0.025,0.025,0.025,0.025,0.275,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.05,0.18636363636363634,0.004545454545454546,0.18636363636363634,0.004545454545454546,0.09545454545454546,0.004545454545454546,0.1409090909090909,0.004545454545454546,0.09545454545454546,0.004545454545454546,0.004545454545454546,0.05,0.05,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.05,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.004545454545454546,0.004545454545454546,
0.01,0.01,0.61,0.01,0.01,0.01,0.01,0.11000000000000001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.3875,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.2625,0.0125,0.0125,0.0125,0.0125,0.0125,
0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.275,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.02,0.02,0.02,0.22000000000000003,0.02,0.02,0.02,0.02,0.02,0.02,0.22000000000000003,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,
0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.275,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.275,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.22000000000000003,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.22000000000000003,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.275,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,
